clave,descripcion,clase_o_division,peligro_secundario,nombre_tecnico
3098,"LÍQUIDO COMBURENTE, CORROSIVO, N.E.P.",5.1,8,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3099,"LÍQUIDO COMBURENTE, TÓXICO, N.E.P.",5.1,6.1,Oxidantes.
3100,"SÓLIDO COMBURENTE QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, N.E.P.",5.1,4.2,Oxidantes.
3101,PERÓXIDO ORGÁNICO LÍQUIDO TIPO B,5.2,,Oxidantes.
3102,PERÓXIDO ORGÁNICO SÓLIDO TIPO B,5.2,,Peróxidos orgánicos.
3103,PERÓXIDO ORGÁNICO LÍQUIDO TIPO C,5.2,,Peróxidos orgánicos.
3104,PERÓXIDO ORGÁNICO SÓLIDO TIPO C,5.2,,Peróxidos orgánicos.
3105,PERÓXIDO ORGÁNICO LÍQUIDO TIPO D,5.2,,Peróxidos orgánicos.
3106,PERÓXIDO ORGÁNICO SÓLIDO TIPO D,5.2,,Peróxidos orgánicos.
3107,PERÓXIDO ORGÁNICO LÍQUIDO TIPO E,5.2,,Peróxidos orgánicos.
3108,PERÓXIDO ORGÁNICO SÓLIDO TIPO E,5.2,,Peróxidos orgánicos.
3109,PERÓXIDO ORGÁNICO LÍQUIDO TIPO F,5.2,,Peróxidos orgánicos.
3110,PERÓXIDO ORGÁNICO SÓLIDO TIPO F,5.2,,Peróxidos orgánicos.
3111,"PERÓXIDO ORGÁNICO LÍQUIDO TIPO B, CON TEMPERATURA REGULADA",5.2,,Peróxidos orgánicos.
3112,"PERÓXIDO ORGÁNICO SÓLIDO TIPO B, CON TEMPERATURA REGULADA",5.2,,Peróxidos orgánicos.
3113,"PERÓXIDO ORGÁNICO LÍQUIDO TIPO C, CON TEMPERATURA REGULADA",5.2,,Peróxidos orgánicos.
3114,"PERÓXIDO ORGÁNICO SÓLIDO TIPO C, CON TEMPERATURA REGULADA",5.2,,Peróxidos orgánicos.
3115,"PERÓXIDO ORGÁNICO LÍQUIDO TIPO D, CON TEMPERATURA REGULADA",5.2,,Peróxidos orgánicos.
3116,"PERÓXIDO ORGÁNICO SÓLIDO TIPO D, CON TEMPERATURA REGULADA",5.2,,Peróxidos orgánicos.
3117,"PERÓXIDO ORGÁNICO LÍQUIDO TIPO E, CON TEMPERATURA REGULADA",5.2,,Peróxidos orgánicos.
3118,"PERÓXIDO ORGÁNICO SÓLIDO TIPO E, CON TEMPERATURA REGULADA",5.2,,Peróxidos orgánicos.
3119,"PERÓXIDO ORGÁNICO LÍQUIDO TIPO F, CON TEMPERATURA REGULADA",5.2,,Peróxidos orgánicos.
3120,"PERÓXIDO ORGÁNICO SÓLIDO TIPO F, CON TEMPERATURA REGULADA",5.2,,Peróxidos orgánicos.
3121,"SÓLIDO COMBURENTE QUE REACCIONA CON EL AGUA, N.E.P.",5.1,4.3,Peróxidos orgánicos.
3122,"LÍQUIDO TÓXICO, COMBURENTE, N.E.P.",6.1,5.1,Oxidantes.
3123,"LÍQUIDO TÓXICO QUE REACCIONA CON EL AGUA, N.E.P.",6.1,4.3,Tóxicos
3124,"SÓLIDO TÓXICO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, N.E.P.",6.1,4.2,Tóxicos
3125,"SÓLIDO TÓXICO QUE REACCIONA CON EL AGUA, N.E.P.",6.1,4.3,Tóxicos
3126,"SÓLIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, CORROSIVO, ORGÁNICO, N.E.P.",4.2,8,Tóxicos
3127,"SÓLIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, COMBURENTE, N.E.P.",4.2,5.1,Solidos inflamables de reacción espontanea.
3128,"SÓLIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, TÓXICO, ORGÁNICO, N.E.P.",4.2,6.1,Solidos inflamables de reacción espontanea.
3129,"LÍQUIDO QUE REACCIONA CON EL AGUA, CORROSIVO, N.E.P.",4.3,8,Solidos inflamables de reacción espontanea.
3130,"LÍQUIDO QUE REACCIONA CON EL AGUA, TÓXICO, N.E.P.",4.3,6.1,Substancias que en contacto con el agua desprenden gases inflamables.
3131,"SÓLIDO QUE REACCIONA CON EL AGUA, CORROSIVO, N.E.P.",4.3,8,Substancias que en contacto con el agua desprenden gases inflamables.
3132,"SÓLIDO QUE REACCIONA CON EL AGUA, INFLAMABLE, N.E.P.",4.3,4.1,Substancias que en contacto con el agua desprenden gases inflamables.
3133,"SÓLIDO QUE REACCIONA CON EL AGUA, COMBURENTE, N.E.P.",4.3,5.1,Substancias que en contacto con el agua desprenden gases inflamables.
3134,"SÓLIDO QUE REACCIONA CON EL AGUA, TÓXICO, N.E.P.",4.3,6.1,Substancias que en contacto con el agua desprenden gases inflamables.
3135,"SÓLIDO QUE REACCIONA CON EL AGUA Y QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, N.E.P.",4.3,4.2,Substancias que en contacto con el agua desprenden gases inflamables.
3136,TRIFLUOROMETANO LÍQUIDO REFRIGERADO,2.2,,Substancias que en contacto con el agua desprenden gases inflamables.
3137,"SÓLIDO COMBURENTE, INFLAMABLE, N.E.P.",5.1,4.1,
3138,"ETILENO, ACETILENO Y PROPILENO, MEZCLA LÍQUIDA REFRIGERADA DE, que contiene un mínimo del 71,5% de etileno, con un máximo del 22,5% de acetileno y un máximo del 6% de propileno",2.1,,Oxidantes.
3139,"LÍQUIDO COMBURENTE, N.E.P.",5.1,,
3140,"ALCALOIDES LÍQUIDOS, N.E.P. o SALES DE ALCALOIDES LÍQUIDAS, N.E.P.",6.1,,Oxidantes.
3141,"ANTIMONIO, COMPUESTO INORGÁNICO LÍQUIDO DE, N.E.P.",6.1,,Tóxicos
3142,"DESINFECTANTE LÍQUIDO, TÓXICO, N.E.P.",6.1,,Tóxicos
3143,"COLORANTE SÓLIDO, TÓXICO, N.E.P. o MATERIA INTERMEDIA PARA COLORANTES, SÓLIDA, TÓXICA, N.E.P.",6.1,,Tóxicos
3144,"NICOTINA, COMPUESTO LÍQUIDO DE, N.E.P., o PREPARADO LÍQUIDO A BASE DE NICOTINA, N.E.P.",6.1,,Tóxicos
3145,"ALQUILFENOLES LÍQUIDOS, N.E.P. (incluidos los homólogos C2 a C12)",8,,Tóxicos
3146,"ORGANOESTAÑO, COMPUESTO DE, SÓLIDO, N.E.P.",6.1,,Corrosivos.
3147,"COLORANTE SÓLIDO, CORROSIVO, N.E.P. o MATERIA INTERMEDIA PARA COLORANTES, SÓLIDA, CORROSIVA, N.E.P.",8,,Tóxicos
3148,"LÍQUIDO QUE REACCIONA CON EL AGUA, N.E.P.",4.3,,Corrosivos.
3149,"PERÓXIDO DE HIDRÓGENO Y ÁCIDO PEROXIACÉTICO, EN MEZCLA, con ácido(s), agua y un máximo del 5% de ácido peroxiacético, ESTABILIZADA",5.1,8,Substancias que en contacto con el agua desprenden gases inflamables.
3150,"DISPOSITIVOS PEQUEÑOS ACCIONADOS POR HIDROCARBUROS GASEOSOS o RECARGAS DE HIDROCARBUROS GASEOSOS PARA DISPOSITIVOS PEQUEÑOS, con dispositivo de descarga",2.1,,
3151,BIFENILOS POLIHALOGENADOS LÍQUIDOS o MONOMETILBIFENILMETAN OS HALOGENADOS LÍQUIDOS o TERFENILOS POLIHALOGENADOS LÍQUIDOS,9,,
3152,BIFENILOS POLIHALOGENADOS SÓLIDOS o MONOMETILBIFENILMETAN OS HALOGENADOS SÓLIDOS o TERFENILOS POLIHALOGENADOS SÓLIDOS,9,,
3153,PERFLUORO (METIL VINIL ETER),2.1,,
3154,PERFLUORO (ETIL VINIL ETER),2.1,,
3155,PENTACLOROFENOL,6.1,,
3156,"GAS COMPRIMIDO, COMBURENTE, N.E.P.",2.2,5.1,
3157,"GAS LICUADO, COMBURENTE, N.E.P.",2.2,5.1,"Gases no inflamables, no tóxicos."
3158,"GAS LICUADO, REFRIGERADO, N.E.P.",2.2,,"Gases no inflamables, no tóxicos."
3159,"1,1,1,2- TETRAFLUOROETANO (GAS REFRIGERANTE R 134a)",2.2,,"Gases no inflamables, no tóxicos."
3160,"GAS LICUADO TÓXICO, INFLAMABLE, N.E.P.",2.3,2.1,
3161,"GAS LICUADO INFLAMABLE, N.E.P.",2.1,,Gases tóxicos.
3162,GAS LICUADO TÓXICO N.E.P.,2.3,,Gases inflamables.
3163,"GAS LICUADO, N.E.P.",2.2,,Gases tóxicos.
3164,"OBJETOS CON PRESIÓN INTERIOR, NEUMÁTICOS o HIDRÁULICOS (que contienen gas no inflamable)",2.2,,"Gases no inflamables, no tóxicos."
3165,DEPÓSITO DE COMBUSTIBLE DE GRUPO MOTOR DE CIRCUITO HIDRÁULICO DE AERONAVE (que contiene una mezcla de hidrazina anhidra y metilhidrazina) (combustible M86),3,6.1\n8,
3166,VEHÍCULO PROPULSADO POR GAS INFLAMABLE o VEHÍCULO PROPULSADO POR LÍQUIDO INFLAMABLE o VEHÍCULO PROPULSADO POR PILA DE COMBUSTIBLE CONTENIENDO GAS INFLAMABLE o VEHÍCULO PROPULSADO POR PILA DE COMBUSTIBLE CONTENIENDO LÍQUIDO INFLAMABLE,9,,
3167,"MUESTRA DE GAS INFLAMABLE, NO COMPRIMIDO, N.E.P., que no sea líquido refrigerado",2.1,,
3168,"MUESTRA DE GAS TÓXICO, INFLAMABLE, NO COMPRIMIDO, N.E.P., que no sea líquido refrigerado",2.3,2.1,Gases inflamables.
3169,"MUESTRA DE GAS TÓXICO, NO COMPRIMIDO, N.E.P., que no sea líquido refrigerado",2.3,,Gases tóxicos.
3170,SUBPRODUCTOS DE LA FUNDICIÓN DEL ALUMINIO o SUBPRODUCTOS DE LA REFUNDICIÓN DEL ALUMINIO,4.3,,Gases tóxicos.
3171,VEHÍCULO ACCIONADO POR BATERÍA o APARATO ACCIONADO POR BATERÍA,9,,
3172,"TOXINAS EXTRAÍDAS DE UN MEDIO VIVO, LÍQUIDAS, N.E.P.",6.1,,
3174,DISULFURO DE TITANIO,4.2,,Tóxicos
3175,"SÓLIDO QUE CONTIENE LÍQUIDO INFLAMABLE, N.E.P.",4.1,,
3176,"SÓLIDO INFLAMABLE ORGÁNICO, FUNDIDO, N.E.P.",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3178,"SÓLIDO INFLAMABLE INORGÁNICO, N.E.P.",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3179,"SÓLIDO INFLAMABLE, TÓXICO, INORGÁNICO, N.E.P.",4.1,6.1,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3180,"SÓLIDO INFLAMABLE, CORROSIVO, INORGÁNICO, N.E.P.",4.1,8,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3181,"SALES METÁLICAS DE COMPUESTOS ORGÁNICOS, INFLAMABLES, N.E.P.",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3182,"HIDRUROS METÁLICOS INFLAMABLES, N.E.P.",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3183,"LÍQUIDO ORGÁNICO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, N.E.P.",4.2,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3184,"LÍQUIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, TÓXICO, ORGÁNICO, N.E.P.",4.2,6.1,Solidos inflamables de reacción espontanea.
3185,"LÍQUIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, CORROSIVO, ORGÁNICO, N.E.P.",4.2,8,Solidos inflamables de reacción espontanea.
3186,"LÍQUIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, INORGÁNICO, N.E.P.",4.2,,Solidos inflamables de reacción espontanea.
3187,"LÍQUIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, TÓXICO, INORGÁNICO, N.E.P.",4.2,6.1,Solidos inflamables de reacción espontanea.
3188,"LÍQUIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, CORROSIVO, INORGÁNICO, N.E.P.",4.2,8,Solidos inflamables de reacción espontanea.
3189,"POLVO METÁLICO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, N.E.P.",4.2,,Solidos inflamables de reacción espontanea.
3190,"SÓLIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, INORGÁNICO, N.E.P.",4.2,,Solidos inflamables de reacción espontanea.
3191,"SÓLIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, TÓXICO, INORGÁNICO, N.E.P.",4.2,6.1,Solidos inflamables de reacción espontanea.
3192,"SÓLIDO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, CORROSIVO, INORGÁNICO, N.E.P.",4.2,8,Solidos inflamables de reacción espontanea.
3194,LÍQUIDO PIROFÓRICO INORGÁNICO N.E.P.,4.2,,Solidos inflamables de reacción espontanea.
3200,"SÓLIDO PIROFÓRICO INORGÁNICO, N.E.P.",4.2,,Solidos inflamables de reacción espontanea.
3205,"ALCOHOLATOS DE METALES ALCALINOTÉRREOS, N.E.P.",4.2,,Solidos inflamables de reacción espontanea.
3206,"ALCOHOLATOS DE METALES ALCALINOS QUE EXPERIMENTAN CALENTAMIENTO ESPONTÁNEO, CORROSIVOS, N.E.P.",4.2,8,Solidos inflamables de reacción espontanea.
3208,"SUBSTANCIA METÁLICA QUE REACCIONA CON EL AGUA, N.E.P.",4.3,,Solidos inflamables de reacción espontanea.
3209,"SUBSTANCIA METÁLICA QUE REACCIONA CON EL AGUA Y QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, N.E.P.",4.3,4.2,Substancias que en contacto con el agua desprenden gases inflamables.
3210,"CLORATOS INORGÁNICOS EN SOLUCIÓN ACUOSA, N.E.P.",5.1,,Substancias que en contacto con el agua desprenden gases inflamables.
3211,"PERCLORATOS INORGÁNICOS EN SOLUCIÓN ACUOSA, N.E.P.",5.1,,Oxidantes.
3212,"HIPOCLORITOS INORGÁNICOS, N.E.P.",5.1,,Oxidantes.
3213,"BROMATOS INORGÁNICOS EN SOLUCIÓN ACUOSA, N.E.P.",5.1,,Oxidantes.
3214,"PERMANGANATOS INORGÁNICOS EN SOLUCIÓN ACUOSA, N.E.P.",5.1,,Oxidantes.
3215,"PERSULFATOS INORGÁNICOS, N.E.P.",5.1,,Oxidantes.
3216,"PERSULFATOS INORGÁNICOS EN SOLUCIÓN ACUOSA, N.E.P.",5.1,,Oxidantes.
3218,"NITRATOS INORGÁNICOS EN SOLUCIÓN ACUOSA, N.E.P.",5.1,,Oxidantes.
3219,"NITRITOS INORGÁNICOS EN SOLUCIÓN ACUOSA, N.E.P.",5.1,,Oxidantes.
3220,PENTAFLUOROETANO (GAS REFRIGERANTE R125),2.2,,Oxidantes.
3221,"LÍQUIDO DE REACCIÓN ESPONTÁNEA, TIPO B",4.1,,
3222,"SÓLIDO DE REACCIÓN ESPONTÁNEA, TIPO B",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3223,"LÍQUIDO DE REACCIÓN ESPONTÁNEA, TIPO C",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3224,"SÓLIDO DE REACCIÓN ESPONTÁNEA, TIPO C",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3225,"LÍQUIDO DE REACCIÓN ESPONTÁNEA, TIPO D",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3226,"SÓLIDO DE REACCIÓN ESPONTÁNEA, TIPO D",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3227,"LÍQUIDO DE REACCIÓN ESPONTÁNEA, TIPO E",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3228,"SÓLIDO DE REACCIÓN ESPONTÁNEA, TIPO E",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3229,"LÍQUIDO DE REACCIÓN ESPONTÁNEA, TIPO F",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3230,"SÓLIDO DE REACCIÓN ESPONTÁNEA, TIPO F",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3231,"LÍQUIDO DE REACCIÓN ESPONTÁNEA, TIPO B, CON TEMPERATURA REGULADA",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3232,"SÓLIDO DE REACCIÓN ESPONTÁNEA, TIPO B, CON TEMPERATURA REGULADA",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3233,"LÍQUIDO DE REACCIÓN ESPONTÁNEA, TIPO C, CON TEMPERATURA REGULADA",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3234,"SÓLIDO DE REACCIÓN ESPONTÁNEA, TIPO C, CON TEMPERATURA REGULADA",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3235,"LÍQUIDO DE REACCIÓN ESPONTÁNEA, TIPO D, CON TEMPERATURA REGULADA",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3236,"SÓLIDO DE REACCIÓN ESPONTÁNEA, TIPO D, CON TEMPERATURA REGULADA",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3237,"LÍQUIDO DE REACCIÓN ESPONTÁNEA, TIPO E, CON TEMPERATURA REGULADA",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3238,"SÓLIDO DE REACCIÓN ESPONTÁNEA, TIPO E, CON TEMPERATURA REGULADA",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3239,"LÍQUIDO DE REACCIÓN ESPONTÁNEA, TIPO F, CON TEMPERATURA REGULADA",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3240,"SÓLIDO DE REACCIÓN ESPONTÁNEA, TIPO F, CON TEMPERATURA REGULADA",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3241,"2-BROMO-2- NITROPROPANO-1,3-DIOL",4.1,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3242,AZODICARBONAMIDA,4.1,,
3243,"SÓLIDOS QUE CONTIENEN LÍQUIDO TÓXICO, N.E.P.",6.1,,
3244,"SÓLIDOS QUE CONTIENEN LÍQUIDO CORROSIVO, N.E.P.",8,,Tóxicos
3245,MICROORGANISMOS MODIFICADOS GENÉTICAMENTE u ORGANISMOS MODIFICADOS GENÉTICAMENTE,9,,Corrosivos.
3246,CLORURO DE METANOSULFONILO,6.1,8,Substancias que durante el transporte presentan un riesgo distinto de los correspondientes a las clases 1 a 8.
3247,PEROXOBORATO DE SODIO ANHIDRO,5.1,,
3248,"MEDICAMENTO LÍQUIDO, INFLAMABLE, TÓXICO, N.E.P.",3,6.1,
3249,"MEDICAMENTO SÓLIDO, TÓXICO, N.E.P.",6.1,,Líquidos inflamables.
3250,ÁCIDO CLOROACÉTICO FUNDIDO,6.1,8,Tóxicos
3251,MONONITRATO-5-DE ISOSORBIDA,4.1,,
3252,DIFLUOROMETANO (GAS REFRIGERANTE R32),2.1,,
3253,TRIOXOSILICATO DE DISODIO,8,,
3254,TRIBUTILFOSFANO,4.2,,
3255,HIPOCLORITO DE terc- BUTILO,4.2,8,
3256,"LÍQUIDO A TEMPERATURA ELEVADA, INFLAMABLE, N.E.P., de punto de inflamación superior a 60 °C, a una temperatura igual o superior al punto de inflamación",3,,
3257,"LÍQUIDO A TEMPERATURA ELEVADA, N.E.P., a una temperatura igual o superior a 100°C e inferior a su punto de inflamación (incluidos los metales fundidos, las sales fundidas, etc.)",9,,Líquidos inflamables.
3258,"SÓLIDO A TEMPERATURA ELEVADA, N.E.P., a una temperatura igual o superior a 240 °C",9,,Substancias que durante el transporte presentan un riesgo distinto de los correspondientes a las clases 1 a 8.
3259,"AMINAS SÓLIDAS, CORROSIVAS, N.E.P., o POLIAMINAS SÓLIDAS, CORROSIVAS, N.E.P.",8,,Substancias que durante el transporte presentan un riesgo distinto de los correspondientes a las clases 1 a 8.
3260,"SÓLIDO CORROSIVO, ÁCIDO, INORGÁNICO, N.E.P.",8,,Corrosivos.
3261,"SÓLIDO CORROSIVO, ÁCIDO, ORGÁNICO, N.E.P.",8,,Corrosivos.
3262,"SÓLIDO CORROSIVO, BÁSICO, INORGÁNICO, N.E.P.",8,,Corrosivos.
3263,"SÓLIDO CORROSIVO, BÁSICO, ORGÁNICO, N.E.P.",8,,Corrosivos.
3264,"LÍQUIDO CORROSIVO, ÁCIDO, INORGÁNICO, N.E.P.",8,,Corrosivos.
3265,"LÍQUIDO CORROSIVO, ÁCIDO, ORGÁNICO, N.E.P.",8,,Corrosivos.
3266,"LÍQUIDO CORROSIVO, BÁSICO, INORGÁNICO, N.E.P.",8,,Corrosivos.
3267,"LÍQUIDO CORROSIVO, BÁSICO, ORGÁNICO, N.E.P.",8,,Corrosivos.
3268,DISPOSITIVOS DE SEGURIDAD de iniciación eléctrica,9,,Corrosivos.
3269,"BOLSA DE RESINA POLIESTÉRICA, material básico líquido",3,,
3270,"FILTROS DE MEMBRANAS NITROCELULÓSICAS, con un máximo del 12,6% de nitrógeno, por masa seca",4.1,,
3271,"ÉTERES, N.E.P.",3,,
3272,"ÉSTERES, N.E.P.",3,,
3273,"NITRILOS INFLAMABLES, TÓXICOS, N.E.P.",3,6.1,Líquidos inflamables.
3274,"ALCOHOLATOS EN SOLUCIÓN, N.E.P. en alcohol",3,8,Líquidos inflamables.
3275,"NITRILOS TÓXICOS, INFLAMABLES, N.E.P.",6.1,3,Líquidos inflamables.
3276,"NITRILOS LÍQUIDOS TÓXICOS, N.E.P.",6.1,,Tóxicos
3277,"CLOROFORMIATOS TÓXICOS, CORROSIVOS, N.E.P.",6.1,8,Tóxicos
3278,"COMPUESTO ORGANOFOSFORADO LÍQUIDO TÓXICO, N.E.P.",6.1,,Tóxicos
3279,"COMPUESTO ORGANOFOSFORADO TÓXICO, INFLAMABLE, N.E.P.",6.1,3,Tóxicos
3280,"COMPUESTO ORGANOARSENICAL, LÍQUIDO, N.E.P.",6.1,,Tóxicos
3281,"CARBONILOS METÁLICOS LÍQUIDOS, N.E.P.",6.1,,Tóxicos
3282,"COMPUESTO ORGANOMETÁLICO LÍQUIDO TÓXICO, N.E.P.",6.1,,Tóxicos
3283,"SELENIO, COMPUESTO DE, SÓLIDO, N.E.P.",6.1,,Tóxicos
3284,"TELURIO, COMPUESTO DE, N.E.P.",6.1,,Tóxicos
3285,"VANADIO, COMPUESTO DE, N.E.P.",6.1,,Tóxicos
3286,"LÍQUIDO INFLAMABLE, TÓXICO, CORROSIVO, N.E.P.",3,6.1\n8,Tóxicos
3287,"LÍQUIDO TÓXICO, INORGÁNICO, N.E.P.",6.1,,Líquidos inflamables.
3288,"SÓLIDO TÓXICO, INORGÁNICO, N.E.P.",6.1,,Tóxicos
3289,"LÍQUIDO TÓXICO, CORROSIVO, INORGÁNICO, N.E.P.",6.1,8,Tóxicos
3290,"SÓLIDO TÓXICO, CORROSIVO, INORGÁNICO, N.E.P.",6.1,8,Tóxicos
3291,"DESECHOS CLÍNICOS, N.E.P. o DESECHOS (BIO)MÉDICOS, N.E.P. o DESECHOS MÉDICOS REGULADOS, N.E.P.",6.2,,Tóxicos
3292,BATERÍAS QUE CONTIENEN SODIO o ELEMENTOS DE BATERÍA QUE CONTIENEN SODIO,4.3,,Agentes infecciosos.
3293,"HIDRAZINA EN SOLUCIÓN ACUOSA con un máximo del 37%, en masa, de hidrazina",6.1,,
3294,"CIANURO DE HIDRÓGENO EN SOLUCIÓN ALCOHÓLICA, con un máximo del 45% de cianuro de hidrógeno",6.1,3,
3295,"HIDROCARBUROS LÍQUIDOS, N.E.P.",3,,
3296,HEPTAFLUOROPROPANO (GAS REFRIGERANTE R 227),2.2,,Líquidos inflamables.
3297,"ÓXIDO DE ETILENO Y CLOROTETRAFLUOROETANO, MEZCLA DE, con un máximo del 8,8% de óxido de etileno",2.2,,
3298,"ÓXIDO DE ETILENO Y PENTAFLUOROETANO, MEZCLA DE, con un máximo del 7,9% de óxido de etileno",2.2,,
3299,"ÓXIDO DE ETILENO Y TETRAFLUOROETANO, MEZCLA DE, con un máximo del 5,6% de óxido de etileno",2.2,,
3300,"ÓXIDO DE ETILENO Y DIÓXIDO DE CARBONO, MEZCLA DE, con más del 87% de óxido de etileno",2.3,2.1,
3301,"LÍQUIDO CORROSIVO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, N.E.P.",8,4.2,
3302,ACRILATO DE 2- DIMETILAMINOETILO ESTABILIZADO,6.1,,Corrosivos.
3303,"GAS COMPRIMIDO, TÓXICO, COMBURENTE, N.E.P.",2.3,5.1,
3304,"GAS COMPRIMIDO, TÓXICO, CORROSIVO, N.E.P.",2.3,8,Gases tóxicos.
3305,"GAS COMPRIMIDO, TÓXICO, INFLAMABLE, CORROSIVO, N.E.P.",2.3,2.1\n8,Gases tóxicos.
3306,"GAS COMPRIMIDO, TÓXICO, COMBURENTE, CORROSIVO, N.E.P.",2.3,5.1\n8,Gases tóxicos.
3307,"GAS LICUADO, TÓXICO, COMBURENTE, N.E.P.",2.3,5.1,Gases tóxicos.
3308,"GAS LICUADO, TÓXICO, CORROSIVO, N.E.P.",2.3,8,Gases tóxicos.
3309,"GAS LICUADO, TÓXICO, INFLAMABLE, CORROSIVO, N.E.P",2.3,2.1\n8,Gases tóxicos.
3310,"GAS LICUADO, TÓXICO, COMBURENTE, CORROSIVO, N.E.P.",2.3,5.1\n8,Gases tóxicos.
3311,"GAS, LÍQUIDO REFRIGERADO, COMBURENTE, N.E.P.",2.2,5.1,Gases tóxicos.
3312,"GAS, LÍQUIDO REFRIGERADO, INFLAMABLE, N.E.P.",2.1,,"Gases no inflamables, no tóxicos."
3313,PIGMENTOS ORGÁNICOS QUE EXPERIMENTAN UN CALENTAMIENTO ESPONTÁNEO,4.2,,Gases inflamables.
3314,"COMPUESTO PARA EL MOLDEADO DE PLÁSTICOS en forma de pasta, hoja o cordón extrusionado que desprende vapores inflamables",9,,Solidos inflamables de reacción espontanea.
3315,MUESTRA QUÍMICA TÓXICA,6.1,,
3317,"2-AMINO-4,6-DINITROFENOL, HUMIDIFICADO con una proporción de agua, en masa, con un mínimo del 20%",4.1,,Tóxicos
3318,"SOLUCIÓN ACUOSA DE AMONIACO, con una densidad relativa menor de 0,880 a 15°C, con más del 50% de amoniaco",2.3,8,
3319,"NITROGLICERINA EN MEZCLA, DESENSIBILIZADA, SÓLIDA, N.E.P. con más del 2% pero no más del 10%, en masa, de nitroglicerina",4.1,,
3320,"BOROHIDRURO DE SODIO Y SOLUCIÓN DE HIDRÓXIDO DE SODIO con un máximo del 12% de borohidruro de sodio y un máximo del 40%, en masa, de hidróxido de sodio",8,,
3321,"MATERIALES RADIACTIVOS, BAJA ACTIVIDAD ESPECÍFICA (BAE-II), no fisionables o fisionables exceptuados",7,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3322,"MATERIALES RADIACTIVOS, BAJA ACTIVIDAD ESPECÍFICA (BAE-III), no fisionables o fisionables exceptuados",7,,
3323,"MATERIALES RADIACTIVOS, BULTOS DEL TIPO C, no fisionables o fisionables exceptuados",7,,Radiactivos.
3324,"MATERIALES RADIACTIVOS, BAJA ACTIVIDAD ESPECÍFICA (BAE-II), FISIONABLES",7,,Radiactivos.
3325,"MATERIALES RADIACTIVOS, BAJA ACTIVIDAD ESPECÍFICA (BAE-III), FISIONABLES",7,,Radiactivos.
